<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.08.19	1.03305	1.03480	1.03156	1.03440	26517	0	1
2013.08.20	1.03439	1.04012	1.03407	1.03935	34087	0	1
2013.08.21	1.03938	1.04821	1.03918	1.04779	36363	0	1
2013.08.22	1.04779	1.05300	1.04706	1.05197	32216	0	1
2013.08.23	1.05184	1.05680	1.04944	1.04944	31232	0	1
2013.08.26	1.05127	1.05332	1.04978	1.04994	20911	0	1
2013.08.27	1.04996	1.05397	1.04719	1.04779	30074	0	1
2013.08.28	1.04778	1.05109	1.04735	1.04887	30706	0	1
2013.08.29	1.04887	1.05410	1.04797	1.05373	29297	0	1
2013.08.30	1.05373	1.05579	1.05086	1.05324	27889	0	1
2013.09.02	1.05284	1.05571	1.05161	1.05475	19449	0	1
2013.09.03	1.05475	1.05593	1.05089	1.05352	27011	0	1
2013.09.04	1.05352	1.05421	1.04753	1.04946	25963	0	1
2013.09.05	1.04957	1.05160	1.04759	1.05045	22510	0	1
2013.09.06	1.05042	1.05048	1.03817	1.04042	22784	0	1
2013.09.09	1.04029	1.04182	1.03594	1.03705	19535	0	1
2013.09.10	1.03707	1.03796	1.03303	1.03497	23493	0	1
2013.09.11	1.03502	1.03648	1.03103	1.03144	22821	0	1
2013.09.12	1.03143	1.03353	1.03056	1.03256	23783	0	1
2013.09.13	1.03257	1.03558	1.03223	1.03489	21098	0	1
2013.09.16	1.03150	1.03262	1.02822	1.03217	21598	0	1
2013.09.17	1.03223	1.03343	1.02746	1.02956	20768	0	1
2013.09.18	1.02958	1.03180	1.02013	1.02272	25486	0	1
2013.09.19	1.02278	1.02675	1.01822	1.02652	28131	0	1
2013.09.20	1.02648	1.03097	1.02621	1.03026	21874	0	1
2013.09.23	1.03059	1.03060	1.02745	1.02819	21346	0	1
2013.09.24	1.02818	1.03103	1.02693	1.03028	19561	0	1
2013.09.25	1.03028	1.03190	1.02859	1.03157	21437	0	1
2013.09.26	1.03159	1.03400	1.03026	1.03105	20595	0	1
2013.09.27	1.03104	1.03318	1.02980	1.03040	18364	0	1
2013.09.30	1.03160	1.03172	1.02750	1.03144	23196	0	1
