<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.05.20	91.780	91.870	88.995	89.256	39873	0	14
2010.05.21	89.260	90.468	89.219	89.975	62028	0	14
2010.05.24	90.166	90.608	89.740	90.263	41550	0	10
2010.05.25	90.262	90.464	89.279	90.301	50577	0	11
2010.05.26	90.301	90.663	89.808	89.971	46678	0	13
2010.05.27	89.968	91.075	89.895	90.951	53121	0	10
2010.05.28	90.951	91.400	90.600	91.049	45323	0	10
2010.05.31	90.976	91.604	90.916	91.161	34560	0	14
2010.06.01	91.151	91.445	90.533	90.987	58175	0	12
2010.06.02	90.987	92.348	90.986	92.219	54719	0	10
2010.06.03	92.216	92.798	92.036	92.564	51144	1619410000	6
2010.06.04	92.565	92.877	91.417	91.885	48821	0	10
2010.06.07	91.849	92.074	90.977	91.462	59159	0	10
2010.06.08	91.476	91.917	90.848	91.525	56951	0	11
2010.06.09	91.516	91.663	91.050	91.305	47275	0	10
2010.06.10	91.309	91.462	90.846	91.388	53336	0	11
2010.06.11	91.358	91.766	91.248	91.644	57795	0	10
2010.06.14	91.719	92.104	91.412	91.616	42423	0	10
2010.06.15	91.624	91.684	91.077	91.511	68502	10500000	6
2010.06.16	91.525	91.811	91.097	91.382	37234	0	11
2010.06.17	91.382	91.431	90.508	90.899	39386	0	10
2010.06.18	90.901	90.947	90.439	90.695	33296	0	10
2010.06.21	90.428	91.465	90.285	91.021	44292	0	10
2010.06.22	91.020	91.093	90.327	90.504	35261	0	10
2010.06.23	90.498	90.572	89.729	89.931	27075	0	10
2010.06.24	89.924	89.968	89.221	89.598	38469	0	10
2010.06.25	89.595	89.764	89.217	89.223	32127	0	10
2010.06.28	89.301	89.453	89.058	89.357	31041	0	6
2010.06.29	89.367	89.404	88.279	88.546	38422	0	14
2010.06.30	88.530	88.760	88.356	88.400	42019	0	14
2010.07.01	88.399	88.549	86.963	87.744	48980	0	8
2010.07.02	87.746	88.197	87.326	87.738	40350	0	7
