<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.14	0.83764	0.84320	0.83579	0.83613	38002	0	1
2014.01.15	0.83662	0.83744	0.83231	0.83296	35997	0	1
2014.01.16	0.83301	0.83602	0.82958	0.83461	38827	0	1
2014.01.17	0.83461	0.83567	0.82439	0.82439	32968	0	1
2014.01.20	0.82492	0.83375	0.82116	0.83304	31375	0	2
2014.01.21	0.83263	0.83393	0.82955	0.83099	32339	0	1
2014.01.22	0.83095	0.83456	0.82959	0.83044	32964	0	2
2014.01.23	0.83039	0.83379	0.82607	0.82944	40887	0	1
2014.01.24	0.82931	0.82955	0.82116	0.82116	39142	0	1
2014.01.27	0.82360	0.82608	0.81966	0.82239	36047	0	1
2014.01.28	0.82248	0.83034	0.82190	0.82699	34770	0	1
2014.01.29	0.82690	0.82981	0.81768	0.82142	38967	0	1
2014.01.30	0.82147	0.82176	0.81254	0.81634	38286	0	1
2014.01.31	0.81636	0.81801	0.80615	0.80758	37740	0	1
2014.02.03	0.81018	0.81367	0.80753	0.80770	35410	0	1
2014.02.04	0.80769	0.82560	0.80492	0.82238	40729	0	1
2014.02.05	0.82238	0.82324	0.81869	0.82204	40996	0	1
2014.02.06	0.82204	0.82824	0.82082	0.82390	39462	0	1
2014.02.07	0.82388	0.82955	0.82115	0.82923	38530	0	1
2014.02.10	0.82783	0.82867	0.82563	0.82661	24223	0	1
2014.02.11	0.82662	0.83435	0.82635	0.83151	29896	0	1
2014.02.12	0.83150	0.83678	0.83019	0.83226	28796	0	1
2014.02.13	0.83226	0.83570	0.82922	0.83371	31575	0	1
2014.02.14	0.83370	0.83842	0.83311	0.83648	27574	0	1
2014.02.17	0.83657	0.83919	0.83527	0.83637	23917	0	1
2014.02.18	0.83638	0.83801	0.82963	0.82993	35380	0	1
2014.02.19	0.82991	0.83424	0.82646	0.82710	51961	0	1
2014.02.20	0.82711	0.83148	0.82421	0.82993	52018	0	1
2014.02.21	0.82994	0.83145	0.82639	0.82743	38136	0	1
2014.02.24	0.82745	0.83414	0.82600	0.83266	40479	0	1
2014.02.25	0.83263	0.83444	0.83165	0.83249	38391	0	1
2014.02.26	0.83249	0.83444	0.82809	0.83042	38713	0	1
2014.02.27	0.83043	0.83910	0.82915	0.83643	42355	0	1
2014.02.28	0.83646	0.84248	0.83581	0.83792	40453	0	2
2014.03.03	0.83583	0.83841	0.83422	0.83647	38277	0	1
2014.03.04	0.83645	0.83997	0.83520	0.83843	39524	0	1
2014.03.05	0.83840	0.84314	0.83760	0.84122	37894	0	1
2014.03.06	0.84131	0.85030	0.84062	0.84731	41242	0	1
2014.03.07	0.84727	0.85226	0.84444	0.84614	43428	0	1
2014.03.10	0.84688	0.84802	0.84398	0.84704	57606	0	1
2014.03.11	0.84704	0.85054	0.84575	0.84579	63639	0	1
2014.03.12	0.84582	0.85245	0.84355	0.85174	78989	0	1
2014.03.13	0.85175	0.86048	0.85114	0.85409	87161	0	1
2014.03.14	0.85405	0.85633	0.85235	0.85264	66787	0	1
2014.03.17	0.85232	0.85820	0.85230	0.85610	60402	0	1
2014.03.18	0.85610	0.86395	0.85408	0.86195	75498	0	1
2014.03.19	0.86195	0.86357	0.85282	0.85302	79439	0	1
2014.03.20	0.85302	0.85477	0.85009	0.85312	72194	0	1
2014.03.21	0.85311	0.85677	0.85242	0.85308	60228	0	1
2014.03.24	0.85353	0.85664	0.85146	0.85457	69651	0	1
2014.03.25	0.85457	0.85881	0.85319	0.85704	63404	0	1
2014.03.26	0.85703	0.86197	0.85673	0.85965	75657	0	1
2014.03.27	0.85965	0.86854	0.85907	0.86674	74336	0	1
2014.03.28	0.86674	0.86964	0.86476	0.86476	65973	0	1
2014.03.31	0.86573	0.86840	0.86407	0.86715	74861	0	1
2014.04.01	0.86715	0.87010	0.86190	0.86212	63161	0	1
2014.04.02	0.86222	0.86280	0.85463	0.85741	70801	0	1
2014.04.03	0.85740	0.85802	0.85137	0.85389	69043	0	1
2014.04.04	0.85390	0.86032	0.85306	0.85925	64563	0	1
2014.04.07	0.85846	0.86146	0.85788	0.86062	51411	0	1
2014.04.08	0.86068	0.86809	0.86019	0.86682	61688	0	1
2014.04.09	0.86682	0.87258	0.86452	0.87128	61290	0	1
2014.04.10	0.87129	0.87452	0.86659	0.86709	54077	0	1
2014.04.11	0.86712	0.87056	0.86237	0.86813	50947	0	1
2014.04.14	0.86850	0.86944	0.86303	0.86811	45251	0	1
