<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.11.18	1.29226	1.29843	1.29080	1.29507	35102	0	17
2019.11.19	1.29497	1.29687	1.29095	1.29230	34770	0	17
2019.11.20	1.29228	1.29298	1.28870	1.29219	34999	0	17
2019.11.21	1.29223	1.29691	1.28921	1.29031	34579	0	17
2019.11.22	1.29038	1.29273	1.28224	1.28356	33855	0	17
2019.11.25	1.28538	1.29107	1.28399	1.28977	32552	0	17
2019.11.26	1.28973	1.29027	1.28340	1.28635	33986	0	17
2019.11.27	1.28636	1.29191	1.28264	1.29178	38096	0	17
2019.11.28	1.29190	1.29500	1.28982	1.29075	36367	0	17
2019.11.29	1.29082	1.29411	1.28782	1.29328	31796	0	17
2019.12.02	1.29082	1.29481	1.28950	1.29394	33976	0	17
2019.12.03	1.29410	1.30103	1.29296	1.29943	33550	0	17
2019.12.04	1.29941	1.31194	1.29817	1.31031	37154	0	17
2019.12.05	1.31023	1.31656	1.30985	1.31545	30807	0	17
2019.12.06	1.31534	1.31646	1.31000	1.31404	30744	0	17
2019.12.09	1.31329	1.31797	1.31311	1.31378	33780	0	17
2019.12.10	1.31434	1.32141	1.31317	1.31520	33065	0	17
2019.12.11	1.31519	1.32124	1.31046	1.31932	37925	0	17
2019.12.12	1.31937	1.32283	1.30490	1.31684	44192	0	17
2019.12.13	1.31881	1.35137	1.31881	1.33428	58820	0	17
2019.12.16	1.33378	1.34215	1.33202	1.33290	41745	0	17
2019.12.17	1.33296	1.33351	1.30984	1.31273	49498	0	17
2019.12.18	1.31273	1.31335	1.30590	1.30765	48726	0	17
2019.12.19	1.30763	1.31319	1.29889	1.30081	46169	0	17
2019.12.20	1.30081	1.30785	1.29991	1.30035	34352	0	17
2019.12.23	1.30000	1.30310	1.29040	1.29327	38672	0	17
2019.12.24	1.29345	1.29700	1.29210	1.29665	28989	0	17
2019.12.26	1.29587	1.30145	1.29467	1.29913	26651	0	17
2019.12.27	1.29901	1.31163	1.29678	1.30741	40189	0	17
2019.12.30	1.30876	1.31493	1.30637	1.31095	62310	0	17
2019.12.31	1.31096	1.32834	1.30950	1.32446	64914	0	17
2020.01.02	1.32485	1.32654	1.31143	1.31343	80048	0	17
2020.01.03	1.31342	1.31592	1.30525	1.30724	71047	0	17
2020.01.06	1.30801	1.31734	1.30607	1.31658	59012	0	17
2020.01.07	1.31663	1.32113	1.30940	1.31240	67518	0	17
2020.01.08	1.31181	1.31686	1.30793	1.30930	81954	0	17
2020.01.09	1.30918	1.31227	1.30123	1.30642	69443	0	17
2020.01.10	1.30644	1.30959	1.30415	1.30547	57872	0	17
2020.01.13	1.30311	1.30443	1.29601	1.29864	57883	0	17
2020.01.14	1.29865	1.30322	1.29533	1.30180	66340	0	17
2020.01.15	1.30170	1.30415	1.29839	1.30372	60240	0	17
2020.01.16	1.30372	1.30821	1.30243	1.30769	62705	0	17
2020.01.17	1.30769	1.31179	1.30121	1.30144	58724	0	17
2020.01.20	1.29916	1.30131	1.29610	1.30070	35040	0	17
2020.01.21	1.30070	1.30824	1.29945	1.30466	53869	0	17
