<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.13	0.92059	0.92582	0.91301	0.92160	86904	0	3
2013.06.14	0.92206	0.92698	0.91958	0.92053	50413	0	5
2013.06.17	0.92184	0.92715	0.92140	0.92270	39312	0	5
2013.06.18	0.92271	0.92621	0.91752	0.91987	44212	0	5
2013.06.19	0.91991	0.93215	0.91802	0.92797	46602	0	5
2013.06.20	0.92797	0.93610	0.92508	0.92698	71070	0	5
2013.06.21	0.92698	0.93678	0.92419	0.93357	53073	0	5
2013.06.24	0.93548	0.93807	0.93101	0.93295	57971	0	5
2013.06.25	0.93293	0.94074	0.93188	0.93789	51328	0	5
2013.06.26	0.93787	0.94431	0.93723	0.94291	49785	0	5
2013.06.27	0.94279	0.94873	0.94058	0.94502	72106	0	3
2013.06.28	0.94503	0.94748	0.94110	0.94435	75206	0	3
2013.07.01	0.94472	0.95033	0.94385	0.94503	41084	0	5
2013.07.02	0.94504	0.95292	0.94446	0.95035	43232	0	5
2013.07.03	0.95035	0.95229	0.94463	0.94660	48385	0	5
2013.07.04	0.94664	0.95839	0.94589	0.95610	39214	0	5
2013.07.05	0.95603	0.96603	0.95602	0.96327	46396	0	5
2013.07.08	0.96566	0.96664	0.96251	0.96356	38472	0	5
2013.07.09	0.96357	0.97510	0.96329	0.97275	47040	0	5
2013.07.10	0.97277	0.97448	0.95337	0.95350	52113	0	5
2013.07.11	0.95351	0.95482	0.94044	0.94649	67956	0	5
2013.07.12	0.94658	0.95137	0.94379	0.94573	41797	0	1
2013.07.15	0.94573	0.95341	0.94555	0.94807	38863	0	1
2013.07.16	0.94811	0.94936	0.93786	0.93970	47683	0	1
2013.07.17	0.93971	0.94454	0.93586	0.94110	48614	0	1
2013.07.18	0.94110	0.94775	0.94053	0.94409	41790	0	1
2013.07.19	0.94410	0.94613	0.93968	0.94048	38254	0	1
2013.07.22	0.94130	0.94130	0.93222	0.93606	36662	0	1
2013.07.23	0.93608	0.94063	0.93421	0.93476	39435	0	1
2013.07.24	0.93476	0.93882	0.93401	0.93716	42298	0	1
2013.07.25	0.93716	0.93948	0.92831	0.92997	44103	0	1
2013.07.26	0.93001	0.93050	0.92638	0.92784	38167	0	1
2013.07.29	0.92842	0.93220	0.92696	0.93110	35534	0	1
2013.07.30	0.93105	0.93245	0.92731	0.92963	37254	0	1
2013.07.31	0.92965	0.93367	0.92281	0.92640	49081	0	1
2013.08.01	0.92638	0.93720	0.92530	0.93648	43415	0	1
2013.08.02	0.93648	0.93894	0.92741	0.92885	43181	0	1
2013.08.05	0.92893	0.93326	0.92682	0.92759	38664	0	1
2013.08.06	0.92759	0.92960	0.92381	0.92580	41376	0	1
2013.08.07	0.92580	0.92884	0.92072	0.92147	47558	0	1
2013.08.08	0.92148	0.92292	0.91750	0.91985	42192	0	1
2013.08.09	0.91985	0.92292	0.91904	0.92165	34602	0	1
2013.08.12	0.92212	0.92846	0.92164	0.92590	35906	0	1
2013.08.13	0.92590	0.93484	0.92571	0.93303	43540	0	1
2013.08.14	0.93305	0.93773	0.93233	0.93493	41063	0	1
2013.08.15	0.93493	0.93957	0.92469	0.92574	53699	0	1
2013.08.16	0.92575	0.92876	0.92168	0.92622	43918	0	1
2013.08.19	0.92597	0.92848	0.92280	0.92414	38156	0	1
2013.08.20	0.92414	0.92507	0.91467	0.91710	47007	0	1
2013.08.21	0.91710	0.92348	0.91622	0.92197	45999	0	1
2013.08.22	0.92196	0.92895	0.92196	0.92339	43175	0	1
2013.08.23	0.92342	0.92633	0.91895	0.92122	43232	0	1
2013.08.26	0.92075	0.92462	0.92072	0.92260	29330	0	1
2013.08.27	0.92263	0.92293	0.91709	0.91740	44462	0	1
2013.08.28	0.91741	0.92347	0.91704	0.92187	43817	0	1
2013.08.29	0.92186	0.93210	0.92179	0.93112	43824	0	1
2013.08.30	0.93112	0.93321	0.92889	0.92922	39574	0	1
2013.09.02	0.93123	0.93489	0.93104	0.93414	30403	0	1
2013.09.03	0.93419	0.93823	0.93419	0.93671	37069	0	1
2013.09.04	0.93667	0.93823	0.93475	0.93564	32138	0	1
2013.09.05	0.93552	0.94550	0.93527	0.94497	35683	0	1
2013.09.06	0.94505	0.94552	0.93461	0.93760	33037	0	1
2013.09.09	0.93822	0.93917	0.93012	0.93222	29866	0	1
2013.09.10	0.93224	0.93662	0.93163	0.93490	31582	0	1
2013.09.11	0.93490	0.93705	0.92849	0.93052	31806	0	1
2013.09.12	0.93052	0.93354	0.92717	0.93030	32516	0	1
2013.09.13	0.93030	0.93408	0.92807	0.92957	30011	0	1
2013.09.16	0.92450	0.92778	0.92355	0.92730	28907	0	1
