<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.06.08	1.07162	1.07222	1.05885	1.06274	44425	0	15
2011.06.09	1.06271	1.06615	1.05623	1.06255	37904	0	15
2011.06.10	1.06253	1.06509	1.05259	1.05350	38643	0	15
2011.06.13	1.05278	1.06358	1.05224	1.06100	62209	0	15
2011.06.14	1.06099	1.07145	1.05675	1.06791	59886	0	15
2011.06.15	1.06791	1.07124	1.05343	1.05574	60699	0	15
2011.06.16	1.05581	1.05895	1.04774	1.05613	80680	0	15
2011.06.17	1.05619	1.06341	1.05052	1.05988	71817	0	15
2011.06.20	1.05982	1.06160	1.04962	1.05772	67267	0	15
2011.06.21	1.05770	1.06189	1.05311	1.05969	65438	0	15
2011.06.22	1.05962	1.06494	1.05630	1.05685	66590	0	15
2011.06.23	1.05685	1.05705	1.04546	1.05325	69973	0	15
2011.06.24	1.05331	1.05998	1.04846	1.04885	65176	0	15
2011.06.27	1.04835	1.04869	1.03902	1.04523	71058	0	15
2011.06.28	1.04521	1.05428	1.04354	1.05359	64637	0	15
2011.06.29	1.05358	1.06848	1.05184	1.06709	58962	0	15
2011.06.30	1.06695	1.07495	1.06682	1.07070	60718	0	15
2011.07.01	1.07086	1.07885	1.06727	1.07676	55364	0	15
2011.07.04	1.07700	1.07846	1.07118	1.07415	48317	0	15
2011.07.05	1.07419	1.07461	1.06636	1.06828	64819	0	15
2011.07.06	1.06831	1.07329	1.06540	1.06952	64551	0	15
2011.07.07	1.06956	1.07786	1.06854	1.07706	58462	0	15
2011.07.08	1.07706	1.07879	1.07035	1.07530	64659	0	15
2011.07.11	1.07200	1.07311	1.06311	1.06566	72984	0	15
2011.07.12	1.06566	1.06636	1.05250	1.05913	86546	0	15
2011.07.13	1.05909	1.07975	1.05782	1.07740	79487	0	15
2011.07.14	1.07734	1.07847	1.06931	1.07206	75525	0	15
2011.07.15	1.07191	1.07448	1.06187	1.06507	61276	0	15
2011.07.18	1.06370	1.06543	1.05601	1.06057	77414	0	10
2011.07.19	1.06067	1.07407	1.06030	1.07230	66588	0	10
2011.07.20	1.07218	1.07597	1.07100	1.07414	51566	0	14
2011.07.21	1.07414	1.08557	1.06931	1.08356	60899	0	13
2011.07.22	1.08338	1.08739	1.08191	1.08437	46544	0	15
2011.07.25	1.08462	1.08764	1.07953	1.08472	47963	0	15
2011.07.26	1.08467	1.09676	1.08207	1.09555	52850	0	15
2011.07.27	1.09553	1.10797	1.09429	1.10234	55634	5087750000	12
2011.07.28	1.10234	1.10740	1.09750	1.10059	63783	33271744400	12
2011.07.29	1.10057	1.10173	1.09108	1.09904	60615	0	15
2011.08.01	1.09939	1.10648	1.09221	1.09674	56766	0	15
2011.08.02	1.09675	1.10058	1.07729	1.07776	62529	0	11
2011.08.03	1.07777	1.07842	1.06780	1.07719	68229	0	15
2011.08.04	1.07715	1.07769	1.04479	1.04479	87379	34736600000	12
2011.08.05	1.04481	1.05258	1.03755	1.04400	89739	0	15
2011.08.08	1.04124	1.04362	1.01799	1.01870	105456	0	15
2011.08.09	1.01880	1.04123	0.99265	1.03887	116294	0	15
2011.08.10	1.03889	1.03906	1.01503	1.01507	98176	0	14
2011.08.11	1.01511	1.03576	1.01108	1.03426	106258	0	15
2011.08.12	1.03424	1.03598	1.02452	1.03468	82040	0	13
2011.08.15	1.03661	1.05114	1.03606	1.05084	65494	0	15
2011.08.16	1.05084	1.05087	1.04056	1.04680	76581	0	15
2011.08.17	1.04682	1.06006	1.04322	1.05363	71899	0	15
2011.08.18	1.05361	1.05566	1.03520	1.03741	80391	0	15
