<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.05.02	1276.43	1278.00	1266.29	1270.44	32363	0	10
2019.05.03	1270.10	1282.57	1268.31	1278.10	31319	0	10
2019.05.06	1282.55	1285.76	1276.99	1280.31	35127	0	10
2019.05.07	1280.90	1286.02	1278.22	1284.23	34277	0	10
2019.05.08	1283.84	1291.50	1279.33	1280.71	35420	0	10
2019.05.09	1280.77	1288.22	1279.55	1283.79	38828	0	10
2019.05.10	1283.55	1289.43	1283.07	1285.94	40075	0	10
2019.05.13	1287.18	1301.24	1281.96	1299.69	37335	0	10
2019.05.14	1299.63	1303.24	1293.71	1296.81	28893	0	10
2019.05.15	1296.65	1300.90	1293.04	1296.36	32786	0	10
2019.05.16	1296.15	1298.77	1284.07	1286.53	31233	0	10
2019.05.17	1286.60	1288.94	1274.79	1277.95	31498	0	10
2019.05.20	1278.28	1279.01	1273.65	1277.64	26453	0	10
2019.05.21	1277.38	1277.85	1269.48	1274.64	25169	0	10
2019.05.22	1274.42	1277.32	1272.49	1273.25	25061	0	10
2019.05.23	1273.05	1287.33	1272.77	1283.33	36257	0	10
2019.05.24	1283.16	1285.25	1280.79	1284.76	27948	0	10
2019.05.27	1285.20	1287.32	1283.71	1284.94	14059	0	10
2019.05.28	1285.08	1286.48	1276.15	1279.27	32281	0	10
2019.05.29	1278.80	1285.56	1278.48	1279.72	37879	0	10
2019.05.30	1279.78	1289.23	1275.01	1288.32	32337	0	10
2019.05.31	1287.98	1306.98	1287.85	1306.30	39955	0	10
2019.06.03	1306.61	1327.93	1306.48	1324.64	43317	0	10
2019.06.04	1325.03	1329.09	1319.95	1325.14	40890	0	10
2019.06.05	1324.62	1344.15	1324.29	1330.13	49029	0	10
2019.06.06	1330.94	1339.85	1327.17	1335.40	43031	0	10
2019.06.07	1335.10	1348.29	1330.29	1341.32	40759	0	10
2019.06.10	1334.62	1337.64	1325.09	1327.88	39445	0	10
2019.06.11	1325.26	1329.80	1319.89	1326.64	38134	0	10
2019.06.12	1326.43	1338.43	1325.97	1333.38	39766	0	10
2019.06.13	1333.24	1343.09	1332.37	1341.87	37072	0	10
2019.06.14	1342.64	1358.18	1337.83	1341.00	49428	0	10
2019.06.17	1341.82	1343.48	1332.98	1339.56	40465	0	10
2019.06.18	1339.80	1354.63	1338.58	1346.43	53637	0	10
2019.06.19	1346.26	1362.53	1341.39	1360.22	56025	0	10
2019.06.20	1360.21	1393.87	1357.64	1388.22	81038	0	10
2019.06.21	1387.09	1411.76	1382.54	1398.90	89386	0	10
2019.06.24	1400.35	1421.40	1399.98	1419.33	66643	0	10
2019.06.25	1419.62	1439.08	1411.88	1423.25	101476	0	10
2019.06.26	1423.66	1424.32	1401.87	1408.93	88580	0	10
2019.06.27	1409.10	1412.05	1398.72	1409.77	63200	0	10
2019.06.28	1409.78	1424.59	1405.72	1411.21	65380	0	10
2019.07.01	1392.97	1397.71	1381.72	1384.19	72963	0	10
2019.07.02	1383.26	1420.90	1383.04	1418.06	66451	0	10
2019.07.03	1420.53	1437.72	1411.97	1418.46	87613	0	10
2019.07.04	1418.67	1421.69	1410.15	1415.28	40111	0	10
2019.07.05	1415.34	1424.20	1386.57	1400.87	75861	0	10
2019.07.08	1399.27	1407.61	1391.75	1395.27	86947	0	10
2019.07.09	1395.00	1399.99	1385.70	1397.34	77526	0	10
2019.07.10	1397.46	1418.75	1389.92	1418.63	56682	0	10
2019.07.11	1418.48	1427.04	1400.83	1403.56	57368	0	10
2019.07.12	1404.05	1416.84	1403.15	1414.88	46585	0	10
2019.07.15	1416.38	1419.72	1407.73	1413.67	43741	0	10
2019.07.16	1414.14	1418.18	1400.92	1405.57	48396	0	10
2019.07.17	1405.78	1426.76	1400.07	1425.97	45924	0	10
2019.07.18	1426.38	1448.00	1414.72	1446.02	65409	0	10
2019.07.19	1446.61	1452.90	1420.14	1425.48	75238	0	10
2019.07.22	1426.43	1430.00	1422.17	1424.54	52364	0	10
2019.07.23	1425.13	1430.15	1414.13	1417.43	53300	0	10
2019.07.24	1417.51	1429.56	1416.26	1425.43	50340	0	10
2019.07.25	1425.59	1433.79	1411.07	1414.08	56607	0	10
2019.07.26	1413.54	1424.86	1413.39	1416.66	42900	0	10
2019.07.29	1420.74	1428.14	1414.95	1426.58	33266	0	10
2019.07.30	1426.62	1433.13	1422.25	1430.60	40316	0	10
2019.07.31	1430.88	1434.60	1410.38	1412.42	57657	0	26
2019.08.01	1412.69	1445.87	1400.42	1443.85	73056	0	26
2019.08.02	1444.94	1448.71	1430.20	1440.94	85644	0	26
2019.08.05	1440.19	1469.65	1436.58	1463.58	88207	0	26
